gauge_id,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban
27006,0.128,0.0574,0.3666,0.2435,0.1886
27007,0.0693,0.131,0.4566,0.3261,0.0138
27009,0.0593,0.3078,0.4001,0.2037,0.0254
27021,0.1051,0.2845,0.3031,0.0852,0.2136
27023,0.1196,0.3152,0.4203,0.0079,0.1334
27025,0.0926,0.3822,0.2841,0.0304,0.2061
27026,0.1092,0.2391,0.3907,0.0436,0.2141
27029,0.0749,0.0167,0.4176,0.3781,0.0985
27030,0.0983,0.3799,0.3235,0.0128,0.1798
27032,0.0159,0.0,0.2304,0.7528,0.0009
27034,0.044,0.0168,0.5053,0.4259,0.0071
27035,0.0506,0.0125,0.7558,0.1431,0.0338
27038,0.0102,0.6814,0.2458,0.0011,0.0608
27041,0.1556,0.438,0.2716,0.1221,0.0118
27042,0.089,0.1285,0.4434,0.329,0.0099
27043,0.0512,0.0035,0.5077,0.4248,0.0072
27047,0.1633,0.0,0.3524,0.4843,0.0
27049,0.1748,0.2022,0.3476,0.2728,0.0025
27051,0.0339,0.0324,0.923,0.0039,0.0068
27062,0.0676,0.2033,0.4526,0.2149,0.0547
27064,0.0462,0.7231,0.1309,0.0062,0.0905
27065,0.1276,0.069,0.5027,0.1882,0.1044
27071,0.0527,0.3571,0.3727,0.1927,0.0225
27073,0.023,0.8035,0.157,0.0,0.0153
27077,0.0345,0.0075,0.2961,0.0115,0.6486
27079,0.0811,0.1378,0.3856,0.1884,0.1948
27080,0.0669,0.039,0.5236,0.1208,0.2448
27084,0.049,0.007,0.7255,0.184,0.0337
27087,0.2116,0.4982,0.2223,0.0485,0.018
27089,0.0739,0.0866,0.504,0.2921,0.0344
27090,0.0457,0.0745,0.3872,0.4793,0.0121
28001,0.1272,0.0007,0.1707,0.6735,0.0016
28003,0.0385,0.0736,0.1293,0.0069,0.7454
28008,0.0566,0.0323,0.8595,0.0356,0.0083
28009,0.0659,0.3121,0.4203,0.0343,0.1596
28012,0.0827,0.2784,0.4798,0.0187,0.1326
28015,0.1815,0.5485,0.1327,0.0159,0.1131
28018,0.0786,0.0779,0.7812,0.0314,0.0242
28022,0.0647,0.3416,0.4032,0.0314,0.1511
28023,0.0781,0.0043,0.8015,0.0809,0.0335
28024,0.0267,0.5939,0.3424,0.0014,0.0331
28026,0.0422,0.5201,0.2848,0.012,0.1358
28031,0.0634,0.0153,0.8503,0.0681,0.0025
28033,0.0718,0.0,0.8171,0.1102,0.0009
28039,0.0464,0.0538,0.1645,0.0,0.7251
28040,0.0372,0.0602,0.5968,0.0199,0.2807
28043,0.1201,0.015,0.4254,0.4178,0.01
28044,0.1574,0.705,0.0964,0.0052,0.0343
28046,0.0437,0.0146,0.9122,0.025,0.0045
28048,0.0552,0.3286,0.4905,0.0083,0.11
28050,0.0932,0.563,0.1306,0.0309,0.1766
28052,0.0819,0.3039,0.5754,0.0083,0.0236
28055,0.0856,0.1717,0.7053,0.0112,0.0255
28056,0.0749,0.4341,0.3121,0.0147,0.1576
28060,0.1513,0.5478,0.2222,0.0076,0.0706
28066,0.0346,0.0936,0.2417,0.0016,0.6253
28067,0.0997,0.1221,0.5578,0.1441,0.0712
28072,0.0671,0.6855,0.1773,0.0013,0.0688
28074,0.0395,0.4834,0.3328,0.0055,0.1334
28080,0.0484,0.1956,0.2164,0.0072,0.5257
28081,0.0264,0.086,0.1241,0.0039,0.7561
28082,0.0219,0.5115,0.3626,0.0119,0.0888
28085,0.1061,0.0971,0.5854,0.1607,0.0453
28091,0.0988,0.6326,0.1346,0.0062,0.1242
28093,0.0353,0.4834,0.3392,0.0057,0.1312
28115,0.0435,0.2361,0.1301,0.0072,0.5753
28116,0.1996,0.462,0.1066,0.0235,0.2047
28117,0.1202,0.0214,0.6086,0.223,0.0208
29002,0.059,0.8465,0.0905,0.0012,0.0016
29003,0.0401,0.8161,0.0943,0.0007,0.0488
29005,0.1252,0.6213,0.217,0.0067,0.0288
29009,0.017,0.8915,0.085,0.0003,0.004
30001,0.05,0.7144,0.1803,0.0026,0.0519
30004,0.0597,0.7224,0.2103,0.0021,0.0048
30005,0.0588,0.7393,0.1835,0.0032,0.0145
30011,0.0586,0.7969,0.1396,0.0012,0.0019
30012,0.0516,0.8066,0.1316,0.0009,0.008
30014,0.1237,0.7554,0.1169,0.0,0.004
30015,0.0841,0.7239,0.1893,0.0001,0.0017
3003,0.1587,0.0001,0.2712,0.5548,0.0
31002,0.0844,0.7692,0.1348,0.0025,0.0085
31006,0.0703,0.5422,0.2547,0.0118,0.0398
31010,0.0505,0.5902,0.3297,0.0036,0.0254
31021,0.0243,0.5212,0.4138,0.0017,0.0374
31023,0.2311,0.726,0.0429,0.0,0.0
31025,0.0777,0.3827,0.5272,0.0,0.0103
32003,0.1927,0.5842,0.1773,0.0085,0.0369
32004,0.0486,0.592,0.2466,0.0038,0.1056
32006,0.0289,0.5186,0.39,0.0019,0.0568
32008,0.0238,0.5201,0.3674,0.0032,0.079
33006,0.1342,0.5203,0.3188,0.0017,0.0213
33007,0.0753,0.7205,0.1905,0.001,0.0096
33012,0.0541,0.7903,0.1411,0.0007,0.0133
33013,0.0701,0.7021,0.1914,0.0005,0.0342
33014,0.1633,0.5831,0.1822,0.0028,0.0626
33018,0.0527,0.5228,0.3922,0.0022,0.0289
33019,0.1397,0.5769,0.2456,0.0018,0.0323
33020,0.0186,0.8179,0.122,0.0016,0.0376
33021,0.0217,0.7983,0.1342,0.0029,0.0416
33022,0.0706,0.6481,0.181,0.0036,0.0939
33023,0.0746,0.6515,0.2481,0.0007,0.0244
33024,0.0679,0.745,0.1379,0.0007,0.0472
33026,0.0586,0.595,0.257,0.0049,0.0769
33028,0.1211,0.5377,0.2482,0.0056,0.085
33029,0.1217,0.7018,0.1469,0.0005,0.0272
33031,0.1339,0.4861,0.2738,0.0095,0.0928
33032,0.0897,0.7455,0.1567,0.0,0.0072
33033,0.0592,0.6219,0.1867,0.0022,0.1291
33034,0.141,0.596,0.2237,0.0017,0.0348
33035,0.1013,0.6435,0.202,0.002,0.0477
33039,0.0576,0.539,0.3096,0.0057,0.0797
33053,0.05,0.7634,0.1557,0.0002,0.0304
33054,0.113,0.708,0.169,0.0009,0.0077
33058,0.0467,0.5219,0.3536,0.009,0.0646
34002,0.0363,0.7101,0.2336,0.0004,0.0192
34003,0.0901,0.7015,0.1961,0.0002,0.0104
34004,0.0846,0.647,0.2327,0.0014,0.0291
34005,0.0822,0.6242,0.2182,0.0034,0.0714
34006,0.04,0.7437,0.1886,0.0002,0.0265
34007,0.038,0.7789,0.1556,0.0001,0.0266
34008,0.0687,0.6678,0.175,0.0012,0.0864
34010,0.0396,0.6984,0.2258,0.0003,0.0342
34011,0.065,0.7144,0.1911,0.0002,0.0287
34012,0.0325,0.795,0.1559,0.0005,0.0161
35003,0.0606,0.7355,0.1925,0.0004,0.0105
